,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
5125,The Legend of Spyro: A New Beginning,DS,2006.0,Platform,Vivendi Games,0.33,0.01,0.0,0.03,0.37,68.0,10.0,6.8,8.0,Amaze Entertainment,E
5127,Juiced 2: Hot Import Nights,PSP,2007.0,Racing,THQ,0.06,0.2,0.0,0.11,0.37,73.0,6.0,7.8,11.0,Juice Games,T
5129,Dungeon Siege III,X360,2011.0,Role-Playing,Square Enix,0.21,0.12,0.01,0.03,0.37,72.0,55.0,5.9,102.0,Obsidian Entertainment,T
5131,DiRT Rally,PS4,2016.0,Racing,Codemasters,0.04,0.27,0.0,0.05,0.37,85.0,46.0,8.1,196.0,Codemasters,E
5132,NFL Street 2 Unleashed,PSP,2005.0,Sports,Electronic Arts,0.34,0.0,0.0,0.03,0.37,73.0,23.0,7.4,14.0,EA Tiburon,E
5134,FIFA Street 2,PS2,2006.0,Sports,Electronic Arts,0.17,0.13,0.02,0.04,0.37,59.0,27.0,7.7,42.0,EA Canada,E
5135,Virtua Tennis 2009,Wii,2009.0,Sports,Sega,0.12,0.21,0.0,0.04,0.37,73.0,33.0,7.7,21.0,Sumo Digital,E
5136,Overlord: Dark Legend,Wii,2009.0,Action,Codemasters,0.11,0.22,0.0,0.04,0.37,68.0,30.0,7.9,15.0,Climax Group,T
5138,The Legend of Spyro: The Eternal Night,DS,2007.0,Platform,Vivendi Games,0.32,0.02,0.0,0.03,0.37,56.0,4.0,2.7,6.0,Amaze Entertainment,E
5140,Harry Potter and the Order of the Phoenix,PSP,2007.0,Action,Electronic Arts,0.1,0.17,0.0,0.1,0.37,52.0,11.0,7.6,20.0,EA Games,E10+
5141,Wanted: Weapons of Fate,X360,2009.0,Shooter,Warner Bros. Interactive Entertainment,0.17,0.15,0.0,0.04,0.37,62.0,61.0,7.5,26.0,GRIN,M
5142,Xenosaga Episode III: Also sprach Zarathustra,PS2,2006.0,Role-Playing,Namco Bandai Games,0.09,0.07,0.18,0.02,0.37,81.0,34.0,9,59.0,Monolith Soft,T
5144,Rune Factory: Frontier,Wii,2008.0,Role-Playing,Rising Star Games,0.16,0.13,0.04,0.03,0.37,79.0,34.0,8.5,39.0,Neverland,E10+
5147,Mini Ninjas,Wii,2009.0,Action,Eidos Interactive,0.16,0.16,0.0,0.04,0.37,79.0,9.0,8.3,12.0,Io Interactive,E10+
5148,Naruto Shippuden: Ninja Destiny 2,DS,2008.0,Fighting,Takara Tomy,0.19,0.02,0.13,0.02,0.37,55.0,12.0,5.7,11.0,Takara Tomy,T
5150,Scribblenauts: Unlimited,WiiU,2012.0,Action,Warner Bros. Interactive Entertainment,0.25,0.09,0.0,0.03,0.37,73.0,42.0,7.4,109.0,5TH Cell,E10+
5152,Marvel: Ultimate Alliance,PSP,2006.0,Role-Playing,Activision,0.33,0.0,0.0,0.03,0.37,81.0,19.0,7.5,14.0,Vicarious Visions,T
5153,The Sims 2: Castaway,PS2,2007.0,Simulation,Electronic Arts,0.3,0.01,0.0,0.05,0.37,71.0,17.0,8,15.0,EA Redwood Shores,T
5154,NCAA Football 07,PSP,2006.0,Sports,Electronic Arts,0.34,0.0,0.0,0.03,0.37,75.0,16.0,7.9,11.0,EA Sports,E
5157,Fragile Dreams: Farewell Ruins of the Moon,Wii,2009.0,Role-Playing,Rising Star Games,0.16,0.12,0.06,0.03,0.36,67.0,41.0,8.3,63.0,Tri-Crescendo,T
5158,GoldenEye: Rogue Agent,GC,2004.0,Shooter,Electronic Arts,0.28,0.07,0.0,0.01,0.36,60.0,35.0,6.7,14.0,EA LA,T
5159,Need for Speed: The Run,PC,2011.0,Action,Electronic Arts,0.09,0.21,0.0,0.07,0.36,69.0,18.0,5.8,338.0,Black Box,T
5161,Dragon Ball Z: Infinite World,PS2,2008.0,Fighting,Namco Bandai Games,0.08,0.06,0.21,0.02,0.36,48.0,17.0,7.9,37.0,Dimps Corporation,T
5162,Elite Beat Agents,DS,2006.0,Misc,Nintendo,0.3,0.03,0.0,0.03,0.36,87.0,51.0,8.6,105.0,iNiS,E10+
5164,ESPN X Games Skateboarding,PS2,2001.0,Sports,Konami Digital Entertainment,0.18,0.14,0.0,0.05,0.36,58.0,15.0,7.8,14.0,KCEO,E
5165,Sid Meier's Civilization: Beyond Earth,PC,2014.0,Strategy,Take-Two Interactive,0.11,0.22,0.0,0.03,0.36,81.0,78.0,5.5,1027.0,Firaxis Games,E10+
5167,Castlevania: Order of Ecclesia,DS,2008.0,Platform,Konami Digital Entertainment,0.27,0.02,0.04,0.03,0.36,85.0,46.0,8.7,111.0,Konami,T
5170,Left 4 Dead 2,PC,2009.0,Shooter,Valve Software,0.0,0.32,0.0,0.04,0.36,89.0,55.0,8.5,2530.0,Valve Software,M
5171,Green Day: Rock Band,Wii,2010.0,Misc,MTV Games,0.22,0.11,0.0,0.03,0.36,76.0,12.0,8.8,11.0,Harmonix Music Systems,T
5174,Star Fox: Zero,WiiU,2016.0,Shooter,Nintendo,0.17,0.1,0.07,0.03,0.36,69.0,82.0,7.4,662.0,PlatinumGames,E10+
5175,SAW,PS3,2009.0,Action,Konami Digital Entertainment,0.13,0.17,0.0,0.06,0.36,59.0,41.0,6.4,28.0,Zombie Studios,M
5177,Tom Clancy's HAWX 2,X360,2010.0,Action,Ubisoft,0.24,0.09,0.01,0.03,0.36,68.0,57.0,6.3,29.0,Ubisoft,T
5179,High Heat Major League Baseball 2004,PS2,2003.0,Sports,3DO,0.18,0.14,0.0,0.05,0.36,83.0,17.0,8.1,12.0,3DO,E
5180,Robots,PS2,2005.0,Action,Vivendi Games,0.18,0.14,0.0,0.05,0.36,53.0,6.0,6,8.0,Eurocom Entertainment Software,E
5181,NARC,PS2,2005.0,Shooter,Midway Games,0.18,0.14,0.0,0.05,0.36,50.0,24.0,7,21.0,Point of View,M
5183,Dragon Ball Z: Attack of the Saiyans,DS,2009.0,Role-Playing,Namco Bandai Games,0.12,0.02,0.21,0.01,0.36,73.0,21.0,7.9,24.0,Monolith Soft,E10+
5185,Bionic Commando,PS3,2009.0,Platform,Capcom,0.12,0.17,0.01,0.06,0.36,71.0,48.0,7.4,62.0,GRIN,M
5186,Monster Rancher 3,PS2,2001.0,Simulation,Tecmo Koei,0.11,0.09,0.14,0.03,0.36,77.0,13.0,8.5,23.0,Tecmo,E
5187,The Incredibles: Rise of the Underminer,PS2,2005.0,Action,THQ,0.18,0.14,0.0,0.05,0.36,60.0,12.0,7.1,8.0,Heavy Iron Studios,E10+
5188,Sword Art Online: Lost Song,PSV,2015.0,Role-Playing,Namco Bandai Games,0.06,0.04,0.23,0.03,0.36,70.0,4.0,7.1,27.0,"Bandai Namco Games, Artdink",T
5191,Hamtaro: Ham-Ham Heartbreak,GBA,2002.0,Action,Nintendo,0.26,0.1,0.0,0.01,0.36,72.0,7.0,9.3,18.0,Pax Softonica,E
5192,Okage: Shadow King,PS2,2001.0,Role-Playing,Sony Computer Entertainment,0.14,0.11,0.08,0.04,0.36,70.0,23.0,8.5,14.0,Zener Works,T
5195,BlazBlue: Calamity Trigger,X360,2009.0,Fighting,PQube,0.21,0.08,0.04,0.03,0.36,86.0,51.0,8.5,70.0,Arc System Works,T
5199,NBA 2K6,XB,2005.0,Action,Take-Two Interactive,0.27,0.08,0.0,0.01,0.36,84.0,27.0,8.7,15.0,Visual Concepts,E
5204,Marvel Super Hero Squad,Wii,2009.0,Fighting,THQ,0.3,0.03,0.0,0.03,0.36,49.0,16.0,6.2,14.0,Blue Tongue Entertainment,E10+
5205,The Chronicles of Narnia: Prince Caspian,Wii,2008.0,Action,Disney Interactive Studios,0.31,0.02,0.0,0.03,0.36,63.0,5.0,7.1,12.0,Traveller's Tales,T
5206,World's Scariest Police Chases,PS,2001.0,Racing,Activision,0.2,0.14,0.0,0.02,0.36,54.0,16.0,6.3,4.0,UDS,T
5210,MechAssault 2: Lone Wolf,XB,2004.0,Simulation,Microsoft Game Studios,0.27,0.08,0.0,0.01,0.36,81.0,66.0,7.5,23.0,Day 1 Studios,T
5211,Valkyrie Profile: Lenneth,PSP,2006.0,Role-Playing,Square Enix,0.17,0.01,0.16,0.02,0.36,80.0,39.0,8.4,57.0,TOSE,T
5215,Just Dance 2016,PS4,2015.0,Misc,Ubisoft,0.17,0.13,0.0,0.06,0.36,73.0,10.0,6.8,20.0,Ubisoft,E10+
5216,ESPN NFL Football,XB,2003.0,Sports,Sega,0.27,0.08,0.0,0.01,0.36,91.0,25.0,8.9,45.0,Visual Concepts,E
5218,Rapala Pro Fishing,PS2,2004.0,Sports,Zoo Digital Publishing,0.18,0.14,0.0,0.05,0.36,59.0,6.0,8.7,32.0,Activision,E
5221,Spider-Man: Shattered Dimensions,X360,2010.0,Action,Activision,0.24,0.08,0.0,0.03,0.36,76.0,68.0,7.6,96.0,Beenox,T
5223,TMNT,Wii,2007.0,Action,Ubisoft,0.3,0.03,0.0,0.03,0.36,60.0,17.0,5.9,11.0,Ubisoft Montreal,E10+
5224,Fossil Fighters: Frontier,3DS,2014.0,Role-Playing,Nintendo,0.08,0.04,0.23,0.01,0.36,57.0,25.0,4.8,19.0,"RED Entertainment, Spike Chunsoft",E10+
